Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
plasma cells,CD11b+ monocytes,0.0,0.0,0.0,1.0,1.0,No
plasma cells,lymphatics,0.0,0.00012064181445288938,-0.00012064181445288938,0.995004995004995,1.0,No
plasma cells,CD68+ macrophages,0.0,0.0,0.0,1.0,1.0,No
plasma cells,CD68+ macrophages GzmB+,0.0,0.0,0.0,1.0,1.0,No
CD8+ T cells,CD4+ T cells GATA3+,0.0011312217194570137,0.0,0.0011312217194570137,0.6741116751269035,1.0,No
CD8+ T cells,CD11b+ monocytes,0.0,0.0002987012987012987,-0.0002987012987012987,0.3886113886113886,1.0,No
CD8+ T cells,lymphatics,0.0,0.0,0.0,1.0,1.0,No
CD8+ T cells,CD68+ macrophages,8.544817568144919e-05,0.00014887012707006476,-6.342195138861557e-05,0.7662337662337663,1.0,No
CD8+ T cells,CD68+ macrophages GzmB+,0.0,0.0,0.0,1.0,1.0,No
CD8+ T cells,nerves,0.0013550135501355014,0.00013053126223730585,0.0012244822878981956,0.5894105894105894,1.0,No
CD8+ T cells,NK cells,0.0,0.0002380952380952381,-0.0002380952380952381,0.7712287712287712,1.0,No
CD8+ T cells,immune cells,0.0018852616404461014,0.0003787878787878788,0.0015064737616582225,0.18281718281718282,1.0,No
CD8+ T cells,immune cells / vasculature,0.00033028455284552844,0.0004842606783727482,-0.00015397612552721975,0.7572427572427572,1.0,No
CD8+ T cells,CD11b+CD68+ macrophages,0.0,0.0007676341781678755,-0.0007676341781678755,0.3276723276723277,1.0,No
CD8+ T cells,CD11c+ DCs,0.0009881315331010452,0.0,0.0009881315331010452,0.06293706293706294,1.0,No
vasculature,CD68+ macrophages,0.0002065688907250568,0.0006208144796380091,-0.0004142455889129523,0.5264735264735265,1.0,No
vasculature,CD68+ macrophages GzmB+,0.0,0.0,0.0,1.0,1.0,No
vasculature,nerves,0.0,0.0,0.0,1.0,1.0,No
